id,title,text
100004907,Boo Islands,Indonesia
100004028,"Cape Cod Canal Transit (Canal Transit, Massachusetts)",United States of America
100004073,Cruise Saguenay River (Quebec),Canada
3,Aalborg,Denmark
100004777,Aappilattoq (Kujalleq),Greenland
2,Aarhus,Denmark
100003991,Aberdeen,United Kingdom
100003147,Abidjan,Cote d'Ivoire
100004692,Anastasiya Bay,Russian Federation
2647,Acapulco (Guerrero),Mexico
100004635,Tema (Accra),Ghana
100003998,Ancud,Chile
2880,"Arrecife, Canary Islands",Spain
100004815,Alcudia,Spain
100004475,"EUREKA, CALIFORNIA",United States of America
100003079,Åndalsnes,Norway
2662,Aden,Yemen
100004799,"Angra Do Heroismo, Azores",Portugal
100002976,Adelaide,Australia
990,"Kodiak Island, Alaska",United States of America
100004381,Angras Dos Reis,Brazil
655,Geiranger,Norway
2663,Agadir,Morocco
779,Helsingborg,Sweden
1186,Malaga (Costa del Sol),Spain
2664,"Aghios Nikolaos, Crete",Greece
100004836,Agats (Asmat),Indonesia
100004959,Ahe Lagoon,French Polynesia
100004960,Manahi,French Polynesia
48,Alghero,Italy
100004704,Atlasova Island,Russian Federation
100004396,Aitutaki,Cook Islands
2657,Ajaccio (Corsica),France
100004513,Akaroa,New Zealand
100004953,Auki,Solomon Islands
116,Auckland,New Zealand
100004628,Akpatok Island - North,Canada
100003990,Akpatok Island (Nunavut),Canada
34,Akureyri,Iceland
100004629,Akpatok Island - West,Canada
100003994,Alanya,Turkey
100004507,Albreda,Gambia
100003995,Alderney,Guernsey
2671,Ålesund,Norway
100004454,Alofi,Niue
49,Algiers,Algeria
100002977,Albany (Western Australia),Australia
51,Alicante,Spain
100003992,Al Khoms,Libya
100003993,Al Manamah,Bahrain
100003996,Alotau,Papua New Guinea
100004827,Ali Island,Papua New Guinea
56,Alter do Chão,Brazil
100004473,Alexandria,United States of America
43,Alexandria,Egypt
100003013,Amalfi,Italy
100004731,Ambrym Island,Vanuatu
100004576,Armadale,United Kingdom
100004519,Amelia Island,United States of America
100004925,Tami Islands,Papua New Guinea
100004798,Amasra,Turkey
64,Amsterdam,Netherlands
100003997,Anavilhanas,Brazil
2001,Anchorage,United States of America
1915,San Andres Island,Colombia
78,Antofagasta,Chile
100004056,Cruise Andoya Island,Norway
100004430,Ancona,Italy
81,Antwerp,Belgium
100004366,Antibes,France
2680,St. John's,Antigua and Barbuda
100004853,"Aparri, Luzon",Philippines
100004001,Apra,Guam
85,Apia,Samoa Islands
86,Aqaba (Petra),Jordan
100004002,Archangel,Russian Federation
100004828,Alor,Indonesia
95,Argostoli (Cephalonia),Greece
100004526,ARHUS,Denmark
96,Arica,Chile
100004003,Arsuk Brae,Greenland
100004588,Port Arthur,Australia
100004645,Arviat,Canada
102,Ashdod (Jerusalem),Israel
664,Ascension Island,St Helena
100004663,Alexander Selkirk Island,Chile
100004840,Ashmore Reef,Australia
100004005,Assumption,Seychelles
111,Astoria,United States of America
100004866,Attu Island,United States of America
100003999,Cruise & Explore the Antarctic Peninsula,Antarctica
100004006,Atuona - Hiva Oa,French Polynesia
100004937,Antipodes Islands,New Zealand
2683,"Oranjestad, Aruba",Aruba
2660,Abu Dhabi,United Arab Emirates
100004951,Savu,Indonesia
100004577,Anguilla,
100004867,Adak,United States of America
74,Antalya,Turkey
100004009,Ballycastle,United Kingdom
100004007,Bahrain,
100004776,Baiona,Spain
100004010,Bandar Abbas,Iran (islamic republic of)
2102,St. Kitts (Basseterre),St Kitts and Nevis
100004014,Battle Harbour,Canada
2695,Bay of Islands,New Zealand
100004616,Bencas Island,Canada
157,Barcelona,Spain
100004595,Baie-Comeau,Canada
100004676,Beechey Island,Canada
750,Hamilton,Bermuda
100004541,Brodick,United Kingdom
100004880,Big Diomede Island,Russian Federation
100003164,Bocas del Toro,Panama
100004424,Belawan,Indonesia
196,Benghazi,Libya
100004016,Belle Ile,France
2468,Belem,Brazil
100004438,Beppu (Kyushu Island),Japan
2699,Bequia,St Vincent and Grenadines
252,Brest,France
183,Beirut,Lebanon
2697,Belize City,Belize
189,Belfast,United Kingdom
256,Bridgetown,Barbados
100004580,Bangka Island (Parai Beach Resort),Indonesia
203,Bergen,Norway
100004013,Bastia,France
100004585,Bijagos Archipelago,Guinea-Bissau
100004017,Bildudalur,Iceland
209,Bilbao,Spain
215,Bitung,Indonesia
100004371,Bejaia,Algeria
151,Banjul,Gambia
1009,Kota Kinabalu,Malaysia
100004011,Bangkok (Klong Toey),Thailand
100004018,Black River,Jamaica
